mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	study_catalog	source	dataset_name	sample_id	split	run_accession	project_accession	sample_accession	country	Sample Name	study_accession	Reference
We4_bin.circ.1	cheese	cheese	milk	dairy	fermented_dairy	99.53	0.67	1	3777206	41.97	3777206	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter		Saak2023_CheeseMAGs	cheese_ C	PACBIO_SMRT	We4	Saak2023_CheeseMAGs							
We4_bin.full.28	cheese	cheese	milk	dairy	fermented_dairy	99.11	0.57	3	3356523	36.17	1513623	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesonia		Saak2023_CheeseMAGs	cheese_ C	ILLUMINA	We4	Saak2023_CheeseMAGs							
We5_bin.circ.3	cheese	cheese	milk	dairy	fermented_dairy	100.0	0.0	1	4367604	55.76	4367604	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Alcaligenes		Saak2023_CheeseMAGs	cheese_ C	PACBIO_SMRT	We5	Saak2023_CheeseMAGs							
We5_bin.circ.8	cheese	cheese	milk	dairy	fermented_dairy	98.54	0.0	1	3553795	65.41	3553795	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leucobacter	Leucobacter sp001482305	Saak2023_CheeseMAGs	cheese_ C	PACBIO_SMRT	We5	Saak2023_CheeseMAGs							
We6_bin.circ.4	cheese	cheese	milk	dairy	fermented_dairy	100.0	0.0	1	4047242	55.34	4047242	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Alcaligenes	Alcaligenes pakistanensis	Saak2023_CheeseMAGs	cheese_ C	PACBIO_SMRT	We6	Saak2023_CheeseMAGs							
We6_bin.circ.8	cheese	cheese	milk	dairy	fermented_dairy	99.27	1.75	1	3942972	67.23	3942972	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leucobacter		Saak2023_CheeseMAGs	cheese_ C	PACBIO_SMRT	We6	Saak2023_CheeseMAGs							
We6_bin.circ.9	cheese	cheese	milk	dairy	fermented_dairy	100.0	0.0	1	4376824	62.86	4376824	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Brevibacteriaceae	Brevibacterium	Brevibacterium aurantiacum	Saak2023_CheeseMAGs	cheese_ C	PACBIO_SMRT	We6	Saak2023_CheeseMAGs							
We6_bin.full.13	cheese	cheese	milk	dairy	fermented_dairy	100.0	0.47	1	3884337	55.52	3884337	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Alcaligenes		Saak2023_CheeseMAGs	cheese_ C	ILLUMINA	We6	Saak2023_CheeseMAGs							
We6_bin.full.31	cheese	cheese	milk	dairy	fermented_dairy	100.0	0.43	1	3863101	53.76	3863101	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas sp002332255	Saak2023_CheeseMAGs	cheese_ C	ILLUMINA	We6	Saak2023_CheeseMAGs							
We6_bin.full.92	cheese	cheese	milk	dairy	fermented_dairy	99.65	1.19	2	5439535	54.92	4315560	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia proteamaculans	Saak2023_CheeseMAGs	cheese_ C	ILLUMINA	We6	Saak2023_CheeseMAGs							
